height,weight,low.range,high.range
< 152,< 49,148,150
155 - 168,< 49,150,152
170 - 183,< 49,151,153
185 - 196,< 49,152,154
> 198,< 49,154,156
< 152,50 - 59,150,152
155 - 168,50 - 59,151,153
170 - 183,50 - 59,152,154
185 - 196,50 - 59,154,156
> 198,50 - 59,155,157
< 152,60 - 69,152,154
155 - 168,60 - 69,154,156
170 - 183,60 - 69,156,158
185 - 196,60 - 69,156,158
> 198,60 - 69,158,160
< 152,70 - 79,155,157
155 - 168,70 - 79,156,158
170 - 183,70 - 79,158,160
185 - 196,70 - 79,159,161
> 198,70 - 79,160,162
< 152,80 - 89,156,158
155 - 168,80 - 89,158,160
170 - 183,80 - 89,159,161
185 - 196,80 - 89,160,162
> 198,80 - 89,162,164
< 152,90 - 95,159,161
155 - 168,90 - 95,160,162
170 - 183,90 - 95,162,164
185 - 196,90 - 95,163,165
> 198,90 - 95,165,170
< 152,96 +,160,162
155 - 168,96 +,162,164
170 - 183,96 +,163,165
185 - 196,96 +,165,170
> 198,96 +,165,170
